lat,lon,name,location_type,pm_2.5,10min_avg,1hour_avg,1day_avg,1week_avg
31.444512,74.309754,PU-ZA-4-SS,outside,536.37,537.99,545.22,321.27,305.51
31.4859,74.3735,PU-ZA-10-VC,outside,526.41,513.9,501.3,322.52,301.04
31.480284,74.404699,PU-ZA-5-ZZ,outside,482.57,480.92,476.74,337.07,268.01
31.468374,74.301385,PU-ZA-3-ZI,outside,473.12,474.0,458.62,296.33,269.44
31.501559,74.306762,PU-ZA-1-RA,outside,472.8,467.78,451.38,332.6,287.16
31.570236,74.412914,PU-ZA-8-NA,outside,297.8,314.16,422.56,336.39,309.3
43.57705,104.41902,Umnugobi_01,outside,487.41,581.67,390.58,159.93,139.86
28.545041,77.191111,NASA_AQCS_114,outside,359.16,366.72,381.82,252.34,93.31
25.63128,82.852408,SAMOSA_111,outside,421.85,429.08,374.78,166.47,32.13
25.617332,82.853539,SAMOSA_0083,outside,422.54,394.94,363.97,273.21,251.37
27.808413,81.405747,SAMOSA_0067,outside,425.63,380.99,347.61,272.07,239.13
25.746949,82.53803,SAMOSA_0094,outside,360.02,357.56,344.16,255.81,240.9
27.584419,81.596826,SAMOSA_0052,outside,544.03,436.98,344.06,273.35,156.53
25.740407,82.670459,SAMOSA_0087,outside,353.53,335.37,309.01,261.34,173.13
26.612166,80.203365,SAMOSA_0148,outside,387.0,374.12,305.75,258.09,266.31
45.226838,-76.195901,Trail,outside,164.06,201.36,304.76,322.91,122.74
27.579677,81.60316,SAMOSA_0050,outside,353.07,343.63,301.36,220.03,124.79
27.761785,80.019349,SAMOSA_0126,outside,633.86,389.16,298.6,241.01,234.3
43.56753,104.4227,Umnugobi_03,outside,392.11,444.05,290.87,125.54,111.61
26.473719,80.354418,SAMOSA_0135,outside,336.36,317.12,289.98,204.91,217.45
38.400514,-122.330647,Realm Cellars Tank Room 4,inside,279.32,269.84,282.95,188.56,86.27
27.578435,81.585087,SAMOSA_0055,outside,303.31,287.52,281.34,219.48,77.96
28.546408,77.191909,UT123,outside,265.33,267.39,273.42,94.93,60.66
46.370861,96.253333,Gobi-Altai_02,outside,334.88,451.5,262.9,64.89,65.15
28.583877,77.363516,Billabong_High_1,outside,227.02,228.95,245.88,132.46,63.28
26.377998,79.951971,SAMOSA_0063,outside,232.25,239.4,222.37,185.91,220.89
25.282607,82.995471,SAMOSA_0089,outside,230.36,213.46,221.63,260.24,141.85
25.326006,83.002322,SAMOSA_0096,outside,208.26,205.51,221.5,247.35,232.21
26.166808,79.969386,SAMOSA_0109,outside,215.32,211.39,219.01,182.7,65.26
46.263028,102.779833,Uvurkhangai_01,outside,281.83,331.62,212.28,91.68,76.45
21.073506,105.822389,"399 Au Co, Hanoi",outside,294.85,286.13,203.98,139.97,103.14
28.472156,77.1021,QP_EWI,inside,145.63,158.49,201.2,134.04,25.19
28.547364,77.191555,SAMOSA_0117,outside,213.53,203.39,197.15,174.95,182.29
28.543758,77.191922,Quest Lab,inside,226.76,214.67,196.19,223.74,78.89
28.546479,77.190759,SAMOSA_0093,outside,214.93,201.93,196.05,144.67,56.78
28.546849,77.191417,NASA_AQCS_194,outside,216.22,201.33,195.76,177.24,225.89
25.284611,83.027293,SAMOSA_0088,outside,181.22,177.76,195.49,263.1,154.69
28.545384,77.191466,SAMOSA_0069,outside,207.22,200.5,195.09,139.23,59.17
28.545484,77.191128,SAMOSA_0091,outside,208.4,200.37,193.96,140.04,65.27
40.710419,-74.084461,Innovation High School,outside,13.57,90.21,193.91,22.45,3.37
28.546019,77.191712,SAMOSA_0031,outside,204.57,198.41,192.99,136.7,58.75
26.494765,80.240855,SAMOSA_0149,outside,249.29,226.76,192.19,187.58,203.64
33.082573,-116.598374,Wellness Center,inside,2.6,39.36,191.52,35.28,6.93
28.546403,77.192948,NASA_AQCS_159,outside,198.16,193.98,190.25,169.59,203.22
28.548067,77.192009,SAMOSA_0062,outside,195.37,194.82,189.73,135.93,60.23
28.546458,77.191395,SAMOSA_0032,outside,198.25,194.1,189.58,134.12,61.16
28.546523,77.191125,SAMOSA_0072,outside,204.38,193.83,188.84,135.33,56.96
38.033592,-122.262085,Rodeo Vista(1),inside,244.19,376.38,188.51,15.07,10.55
28.546629,77.191004,SAMOSA_0059,outside,198.84,192.65,187.59,135.83,64.89
28.546338,77.187976,SAMOSA_0020,outside,209.56,193.12,186.8,133.15,59.44
